trial,duration_wall,duration_sim,distance,final_x,final_y,mean_abs_y,max_abs_y,mean_confidence,min_confidence,mean_width,min_width,mean_safety_margin,min_safety_margin,centerline_loss_ratio,obstacle_ratio,mean_speed_cmd,end_reason
1,12.161191734994645,12.20599999999996,7.014301646179434e-05,7.965209210739716e-05,1.7742649644849006e-07,1.4749308908714356e-07,1.7742649644849006e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
2,12.161409601998457,12.206000000000017,7.014301719336473e-05,7.965209293864977e-05,1.7742709189106593e-07,1.474550100943239e-07,1.7742709189106593e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
3,12.194387206000101,12.240000000000009,7.034116209908926e-05,7.985023786559898e-05,1.7759608541712994e-07,1.475842439957202e-07,1.7759608541712994e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
