group,trial,valid,duration_s,distance_m,final_x_m,final_y_m,final_abs_y_m,mean_abs_y_m,rmse_y_m,max_abs_y_m,final_abs_yaw_deg,mean_abs_yaw_deg,cmd_v_mean,cmd_v_max,cmd_v_zero_pct,cmd_abs_w_mean,cmd_abs_w_max,confidence_mean,confidence_low_pct,confidence_stop_pct,safety_mean_m,safety_low_pct,safety_stop_pct,corridor_width_mean_m,centerline_available_pct,projected_pts_mean,left_pts_mean,right_pts_mean,target_count,odom_count,method
zhenshi4hang16m_quality_pid,trial_01,True,309.666621594,16.26901580462433,16.263222391086558,0.008033032952877339,0.008033032952877339,0.007576113949133983,0.008707674777090533,0.016572567170190722,5.420928342903031,1.2513643140128967,0.2166618144754755,0.3783569069803942,11.336599020293912,0.44829879614623735,1.0,0.809332260742129,11.235955056179776,11.235955056179776,0.20392240259693642,11.235955056179776,11.235955056179776,0.7730714314682856,88.76404494382022,796.799795709908,404.9754851889683,369.27914110429447,2534,2879,quality_aware
zhenshi4hang16m_quality_pid,trial_02,True,306.667935395,16.254045242595073,16.24788409588324,-0.0013817628206937425,0.0013817628206937425,0.006806241060928994,0.008263446432662339,0.017819546796028044,2.7706443328946495,1.07461400872192,0.21434940582975737,0.37855658695972705,13.113628561620322,0.4408464861541562,1.0,0.7934371634708682,13.060817547357926,13.060817547357926,0.20048242236895195,13.060817547357926,13.060817547357926,0.757309264105077,86.93918245264207,781.3000997008974,396.72482552342973,363.790628115653,2531,2939,quality_aware
zhenshi4hang16m_quality_pid,trial_03,True,305.716428344,16.258586058053652,16.252609773831804,0.002086077675803013,0.002086077675803013,0.006051510048284076,0.007468184265631161,0.015582325489596528,3.1040148966641934,1.379202431767228,0.18455116588643825,0.3778737983657442,26.43076923076923,0.35354259508721975,1.0,0.6748367181724214,25.9391771019678,25.9391771019678,0.1702174391324277,25.9391771019678,25.9391771019678,0.6453638572065903,74.0608228980322,663.9212880143112,337.9150268336315,308.1583184257603,2391,3288,quality_aware
zhenshi4hang16m_quality_pid,trial_04,True,307.408479241,16.259752298896835,16.253667668501762,0.0031063946379623233,0.0031063946379623233,0.006155288293394311,0.007520487616257905,0.017601729500329826,3.6686868852204446,1.5363951130419546,0.18229095143932272,0.3766978769287665,25.983105155840374,0.3726958785453951,1.0,0.6778414076800241,25.809199318568997,25.809199318568997,0.17066389091274808,25.809199318568997,25.809199318568997,0.6466350146209158,74.190800681431,667.2206132879046,339.0732538330494,309.9642248722317,2541,3454,quality_aware
zhenshi4hang16m_quality_pid,trial_05,True,306.300406274,16.279645197891842,16.273643937239918,0.004696948458267748,0.004696948458267748,0.007092912942533823,0.008280008305119158,0.015912493822254486,5.72801473101552,1.7221565435909252,0.1988434154423259,0.37951311425739953,19.09292737075801,0.4191073317894678,1.0,0.7378531478867759,18.911439114391143,18.911439114391143,0.1870975751718472,18.911439114391143,18.911439114391143,0.7067486947313006,81.08856088560886,726.1725092250922,369.70664206642067,337.56826568265683,2551,3188,quality_aware
zhenshi4hang16m_pid_baseline,trial_01,True,307.655488303,16.287881085317146,16.282170698866945,0.003909808530327608,0.003909808530327608,0.006209846998571081,0.007663673651640658,0.01782947056065873,2.9091623091349708,1.593615952513957,0.1840479337941665,0.3999929264779379,35.24203069657615,0.3749197170976448,1.0,0.595766668689662,35.0,35.0,0.1503844186406711,35.0,35.0,0.5673512270224506,65.0,586.3594827586207,298.88189655172414,271.67241379310343,2194,3412,baseline_pid
zhenshi4hang16m_pid_baseline,trial_02,True,307.247595994,16.31045121626041,16.306063595368684,-0.0020183444884361297,0.0020183444884361297,0.004883306709506826,0.006550960759477804,0.017120072893381758,1.4151975996347723,1.0541218588581627,0.15701426231648194,0.39995927879711535,44.843276036400404,0.31806316768958287,1.0,0.5056114011094472,44.83271375464684,44.83271375464684,0.12640511360310266,44.90706319702602,44.83271375464684,0.48108008275687913,55.16728624535316,499.23271375464685,254.10260223048328,231.54944237918215,2182,3976,baseline_pid
zhenshi4hang16m_pid_baseline,trial_03,True,307.861185025,16.268401816958683,16.264442490639357,-0.005575354063295212,0.005575354063295212,0.00691440398744463,0.007984964858556678,0.017512563052124685,1.6392727908075244,1.0320313230062816,0.18860043006258764,0.39985537373377633,35.07770377418332,0.35544377420339396,1.0,0.5940469735816344,35.07462686567164,35.07462686567164,0.14955371031676656,35.07462686567164,35.07462686567164,0.5661706153247783,64.92537313432835,585.4505597014926,296.9636194029851,272.9860074626866,2047,3171,baseline_pid
zhenshi4hang16m_pid_baseline,trial_04,True,306.080495741,16.297948087502842,16.292050097918583,0.002672676399155138,0.002672676399155138,0.005732861596357672,0.007459572277456129,0.017968024121027246,3.8647888009271134,2.045146500581715,0.17412698267510365,0.39983959332602237,39.08785674314493,0.34760795176158577,1.0,0.560491596784927,38.83892068683565,38.83892068683565,0.1399539643297016,38.83892068683565,38.83892068683565,0.5331561762781681,61.16107931316435,555.181520850368,281.1643499591169,258.9950940310711,2177,3598,baseline_pid
zhenshi4hang16m_pid_baseline,trial_05,True,308.864425033,16.278740981403224,16.273341893408908,0.008885080662518264,0.008885080662518264,0.008297026434024905,0.009171340308615768,0.016634009121817225,5.14818520859974,2.3895256032658927,0.18072134217039434,0.39981219636267856,36.36892638929299,0.36901476136216854,1.0,0.5833891769672962,36.170212765957444,36.170212765957444,0.14591903359331984,36.170212765957444,36.170212765957444,0.5562882099253066,63.829787234042556,574.075744680851,290.89106382978724,267.98893617021275,2187,3456,baseline_pid
