trial,time_s,valid,left_points,right_points,corridor_width_m,safety_margin_m,confidence,row_yaw_rad,center_offset_m,left_slope,left_intercept_m,right_slope,right_intercept_m,line_lost_count,path_points,row_yaw_deg
trial_01,0.262868143,1.0,449.0,560.0,0.8865941166877747,0.2375287115573883,0.93035489320755,0.005560395773500204,0.00103682279586792,0.0,0.4230840802192688,0.0,-0.42101043462753296,0.0,20.0,0.31858721024394254
trial_01,0.601507772,1.0,553.0,455.0,0.8810834288597107,0.23700931668281555,0.9346580505371094,0.006670212838798761,0.0007548481225967407,0.0,0.422466903924942,0.0,-0.42095720767974854,0.0,21.0,0.38217504411714476
trial_01,0.936809666,1.0,431.0,585.0,0.8708068132400513,0.19224196672439575,0.9291548728942871,0.007502575870603323,3.94284725189209e-05,0.0,0.42139196395874023,0.0,-0.4213131070137024,0.0,21.0,0.42986593286225966
trial_01,1.2416703980000001,1.0,563.0,478.0,0.8806679844856262,0.235946923494339,0.927273154258728,0.008126847445964813,-0.0004838407039642334,0.0,0.42078763246536255,0.0,-0.421755313873291,0.0,21.0,0.46563405940045616
trial_01,1.5189569680000001,1.0,450.0,565.0,0.890426754951477,0.2371426522731781,0.9252896904945374,0.003595051821321249,-0.00027649104595184326,0.0,0.42174816131591797,0.0,-0.42230114340782166,0.0,21.0,0.2059812964925273
trial_01,1.7809765640000002,1.0,544.0,477.0,0.8787640929222107,0.23638460040092468,0.9346851110458374,0.0051962039433419704,-0.001096382737159729,0.0,0.4213958978652954,0.0,-0.42358866333961487,0.0,21.0,0.29772055544273046
trial_01,2.085774288,1.0,442.0,580.0,0.8841519355773926,0.23624688386917114,0.9254117608070374,0.001397068495862186,-0.00084647536277771,0.0,0.4221964478492737,0.0,-0.4238893985748291,0.0,19.0,0.08004612850359337
trial_01,2.350035385,1.0,528.0,487.0,0.8925144672393799,0.23605474829673767,0.9266269207000732,0.0035477166529744864,-0.00012099742889404297,0.0,0.4217453598976135,0.0,-0.4219873547554016,0.0,20.0,0.20326919112371655
trial_01,2.6151703740000003,1.0,458.0,561.0,0.8819602727890015,0.23559293150901794,0.933784008026123,0.00016401991888415068,0.0009011626243591309,0.0,0.4232349991798401,0.0,-0.4214326739311218,0.0,21.0,0.009397649108139946
trial_01,2.8698984050000003,1.0,544.0,440.0,0.8762130737304688,0.23412427306175232,0.9393922686576843,0.002623639302328229,0.0008928626775741577,0.0,0.42326316237449646,0.0,-0.42147743701934814,0.0,20.0,0.15032345898805533
trial_01,3.1298849590000004,1.0,425.0,566.0,0.8757518529891968,0.23285487294197083,0.9310213923454285,-0.0005295421578921378,0.0015753954648971558,0.0,0.424017071723938,0.0,-0.4208662807941437,0.0,21.0,-0.030340530721469753
trial_01,3.402729224,1.0,524.0,406.0,0.8722031116485596,0.21502456068992615,0.9181419610977173,-0.0028989771381020546,0.002398252487182617,0.0,0.42438390851020813,0.0,-0.4195874035358429,0.0,21.0,-0.1660991549181617
trial_01,3.6684953370000004,1.0,383.0,430.0,0.8566272258758545,0.17955580353736877,0.9224933385848999,-0.00467407051473856,0.004275843501091003,0.0,0.4256887137889862,0.0,-0.4171370267868042,0.0,20.0,-0.2678045136410597
