trial,t_wall,t_sim,x,y,yaw,linear_x,angular_z,confidence,width,safety_margin,obstacle,center_points
1,0.12315182900056243,0.2039999999999509,9.707245247446775e-06,1.176528351045597e-07,1.8487251794234566e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.2557371500006411,0.339999999999975,1.0499821227657243e-05,1.183301070582739e-07,1.8577200876684845e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.3573306890029926,0.44199999999995043,1.1094253216123538e-05,1.1883806180765248e-07,1.864466262553424e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.45915512499777833,0.5439999999999827,1.1688685207401819e-05,1.1934601722407134e-07,1.8712124316639516e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.5612278650005464,0.6459999999999582,1.2283117201455224e-05,1.1985397330157098e-07,1.8779586012074038e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.6631250150021515,0.7479999999999905,1.287754919824342e-05,1.2036193004826093e-07,1.8847047655484647e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.7653727189972415,0.8499999999999659,1.3471981197797633e-05,1.2086988746889212e-07,1.891450934777317e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.8674709109982359,0.9519999999999982,1.4066413200107455e-05,1.2137784556923376e-07,1.8981970959867102e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,0.9695336040022084,1.0539999999999736,1.4660845205148598e-05,1.2188580432826665e-07,1.9049432528081458e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.0715250869980082,1.156000000000006,1.5255277212897211e-05,1.2239376371991825e-07,1.9116894116536792e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.1735141320023104,1.2579999999999814,1.5849709223296916e-05,1.2290172376964365e-07,1.9184355666593022e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.275754816000699,1.3599999999999568,1.644414123643358e-05,1.2340968447956479e-07,1.925181719183283e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.377908144997491,1.461999999999989,1.7038573252231744e-05,1.239176458503091e-07,1.931927871293096e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.4800161329985713,1.5639999999999645,1.7633005270731306e-05,1.2442560788831938e-07,1.9386740167370994e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.5821586360034416,1.6659999999999968,1.8227437291874586e-05,1.2493357060871488e-07,1.9454201618581817e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.6844551750036771,1.7679999999999723,1.882186931565161e-05,1.2544153397968206e-07,1.9521663033549784e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.7866274379994138,1.8700000000000045,1.9416301342161692e-05,1.2594949797696795e-07,1.9589124479212486e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.888673897999979,1.97199999999998,2.0010733371286e-05,1.264574626790512e-07,1.9656585947836027e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,1.9906110090014408,2.0739999999999554,2.0605165403074846e-05,1.269654280213556e-07,1.972404735166753e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.092667083001288,2.1759999999999877,2.119959743745927e-05,1.274733940361285e-07,1.979150871325731e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.194826060003834,2.277999999999963,2.179402947442453e-05,1.2798136066041486e-07,1.9858969993530823e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.2967031090011005,2.3799999999999955,2.238846151395718e-05,1.2848932793872067e-07,1.9926431267706737e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.3987098840007093,2.481999999999971,2.298289355613962e-05,1.2899729588552468e-07,1.999389259909555e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.5009213930025,2.584000000000003,2.3577325600856493e-05,1.2950526449080072e-07,2.0061353859842612e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.6032058940036222,2.6859999999999786,2.4171757648112132e-05,1.3001323373275855e-07,2.012881513137557e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.705408095003804,2.787999999999954,2.4766189697868375e-05,1.3052120360986897e-07,2.0196276326034466e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.807546377996914,2.8899999999999864,2.5360621750171192e-05,1.3102917411892697e-07,2.0263737509295525e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,2.909777770000801,2.991999999999962,2.595505380508607e-05,1.31537145289212e-07,2.033119871655687e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.0116432740032906,3.093999999999994,2.6549485862554026e-05,1.3204511710191529e-07,2.0398659903073932e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.113596916999086,3.1959999999999695,2.714391792255121e-05,1.3255308954913425e-07,2.0466121089296143e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.2156557880007313,3.298000000000002,2.7738349985055068e-05,1.330610626769052e-07,2.053358218451113e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.3176917789969593,3.3999999999999773,2.8332782050009657e-05,1.3356903642512146e-07,2.0601043233994048e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.4199654490003013,3.5019999999999527,2.8927214117446635e-05,1.3407701082110625e-07,2.0668504320824186e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.522009391002939,3.603999999999985,2.9521646187356462e-05,1.3458498583697402e-07,2.0735965365648223e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.6244361889985157,3.7059999999999604,3.011607825968406e-05,1.3509296147290307e-07,2.080342643922752e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.7263696669979254,3.8079999999999927,3.071051033447106e-05,1.356009378293627e-07,2.0870887496516422e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.828487448998203,3.909999999999968,3.130494241180377e-05,1.3610891477984396e-07,2.0938348418069518e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,3.9305105690000346,4.0120000000000005,3.1899374491538204e-05,1.366168923783603e-07,2.100580934936771e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.032565112996963,4.113999999999976,3.249380657368564e-05,1.371248705707718e-07,2.1073270252088512e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.134645955004089,4.215999999999951,3.30882386582851e-05,1.3763284940883184e-07,2.1140731185787131e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.2366686259993,4.317999999999984,3.368267074527458e-05,1.3814082889542423e-07,2.120819213334178e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.338648933000513,4.419999999999959,3.427710283462632e-05,1.3864880896590301e-07,2.127565297658884e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.440970294999715,4.521999999999991,3.4871534926392365e-05,1.391567896788937e-07,2.1343113875114945e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.543188632997044,4.623999999999967,3.5465967020537146e-05,1.396647710403887e-07,2.14105746909624e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.645395172999997,4.725999999999999,3.6060399117029875e-05,1.4017275297577703e-07,2.1478035458704694e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.7474563240029966,4.8279999999999745,3.66548312159265e-05,1.406807355761115e-07,2.154549629003428e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.849663843997405,4.92999999999995,3.724926331721921e-05,1.4118871885065948e-07,2.1612957084996246e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,4.95162502599851,5.031999999999982,3.784369542075188e-05,1.4169670268871273e-07,2.1680417847834055e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.0535162029991625,5.133999999999958,3.8438127526708825e-05,1.4220468721300102e-07,2.1747878598616306e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.155700463998073,5.23599999999999,3.903255963493956e-05,1.4271267233895915e-07,2.1815339273760733e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.257655022003746,5.337999999999965,3.9626991745521714e-05,1.432206580704146e-07,2.1882799942737426e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.359709251002641,5.439999999999998,4.0221423858414086e-05,1.4372864447130026e-07,2.195026063114104e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.461859513998206,5.541999999999973,4.08158559734779e-05,1.4423663140994982e-07,2.20177213117702e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.564147785000387,5.6440000000000055,4.141028809096208e-05,1.4474461902594534e-07,2.2085181952199488e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.6663915350000025,5.745999999999981,4.200472021067799e-05,1.452526072317477e-07,2.215264256315731e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.768404367001494,5.847999999999956,4.25991523326872e-05,1.4576059608260005e-07,2.2220103189684465e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.870628153003054,5.949999999999989,4.3193584456981474e-05,1.462685855360372e-07,2.2287563758139997e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,5.97260273899883,6.051999999999964,4.378801658354e-05,1.46776575584857e-07,2.2355024304041352e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.074811922997469,6.153999999999996,4.438244871234932e-05,1.4728456632122112e-07,2.2422484881073813e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.176760449998255,6.255999999999972,4.497688084341466e-05,1.4779255755729777e-07,2.248994539647667e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.278654052999627,6.358000000000004,4.557131297671041e-05,1.4830054949445046e-07,2.255740590545492e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.3808245199979865,6.4599999999999795,4.6165745112148986e-05,1.4880854199895145e-07,2.2624866398928133e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.482892785999866,6.561999999999955,4.676017724980887e-05,1.4931653510607557e-07,2.2692326845796125e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.585236498998711,6.663999999999987,4.735460938966058e-05,1.4982452887049236e-07,2.2759787302231083e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.687285760002851,6.765999999999963,4.794904153165207e-05,1.503325231906877e-07,2.282724774944455e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.789509205002105,6.867999999999995,4.8543473675914314e-05,1.508405181615844e-07,2.2894708164770613e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.891544245001569,6.96999999999997,4.913790582231287e-05,1.51348513701986e-07,2.2962168545002285e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,6.99349668299692,7.072000000000003,4.9732337970915825e-05,1.5185650984150275e-07,2.3029628918476444e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,7.095492184998875,7.173999999999978,5.0326770121698894e-05,1.5236450663443939e-07,2.3097089228929552e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,7.197672750997299,7.275999999999954,5.092120227457968e-05,1.528725039728184e-07,2.316454959672884e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,7.299815717000456,7.377999999999986,5.151563442963277e-05,1.5338050196034783e-07,2.323200990568415e-07,0.0,0.0,0.0,0.0,0.0,False,0
1,7.402188095002202,7.479999999999961,5.211006658683388e-05,1.5388850056416356e-07,2.3299470213543668e-07,0.0,0.0,0.0,0.0,0.0,False,0
