trial,duration_wall,duration_sim,distance,final_x,final_y,mean_abs_y,max_abs_y,mean_confidence,min_confidence,mean_width,min_width,mean_safety_margin,min_safety_margin,centerline_loss_ratio,obstacle_ratio,mean_speed_cmd,end_reason
1,12.201400067999202,12.274000000000001,7.034116067641762e-05,8.004838023844153e-05,1.777650988146298e-07,1.4779149663511015e-07,1.777650988146298e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
2,12.160210566995374,12.206000000000017,7.014301716768147e-05,7.96520929100381e-05,1.774271108207896e-07,1.474550257358295e-07,1.774271108207896e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
3,12.160045596996497,12.206000000000017,7.01430179156334e-05,7.965209375076273e-05,1.7742676049135933e-07,1.4745476674890478e-07,1.7742676049135933e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
