trial,duration_wall,duration_sim,distance,final_x,final_y,mean_abs_y,max_abs_y,mean_confidence,min_confidence,mean_width,min_width,mean_safety_margin,min_safety_margin,centerline_loss_ratio,obstacle_ratio,mean_speed_cmd,end_reason
1,12.159496304993809,12.206000000000017,7.014301636588481e-05,7.965209199432789e-05,1.7742622868877008e-07,1.474540670876189e-07,1.7742622868877008e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
2,12.160283004996018,12.206000000000017,7.014301710169351e-05,7.965209283551872e-05,1.7742713165244528e-07,1.4745503835708786e-07,1.7742713165244528e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
3,12.160778548997769,12.206000000000017,7.01430178526625e-05,7.965209367822006e-05,1.774268011131762e-07,1.4745479717168696e-07,1.774268011131762e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
